country_code;year;researchers_per_million;renewable_energy_share_pct;;;;;;;;;;;;;;;;;;
ARG;2000;716,68837;9,85;;;;;;;;;;;;;;;;;;
ARG;2001;688,24271;11,51;;;;;;;;;;;;;;;;;;
ARG;2002;692,16084;11,62;;;;;;;;;;;;;;;;;;
ARG;2003;718,54634;10,82;;;;;;;;;;;;;;;;;;
ARG;2004;766,08326;9,29;;;;;;;;;;;;;;;;;;
ARG;2005;819,90571;9,64;;;;;;;;;;;;;;;;;;
ARG;2006;892,21337;9,18;;;;;;;;;;;;;;;;;;
ARG;2007;974,80924;7,72;;;;;;;;;;;;;;;;;;
ARG;2008;1036,21916;7,65;;;;;;;;;;;;;;;;;;
ARG;2009;1035,80158;8,59;;;;;;;;;;;;;;;;;;
ARG;2010;1123,91484;8,79;;;;;;;;;;;;;;;;;;
ARG;2011;1181,04552;8,83;;;;;;;;;;;;;;;;;;
ARG;2012;1203,98202;8,61;;;;;;;;;;;;;;;;;;
ARG;2013;1198,98362;8,91;;;;;;;;;;;;;;;;;;
ARG;2014;1207,83968;9,79;;;;;;;;;;;;;;;;;;
ARG;2015;1231,48661;9,4;;;;;;;;;;;;;;;max rpm;7994,13705;;
ARG;2016;1260,70106;9,38;;;;;;;;;;;;;;;max esh;87,35;;
ARG;2017;1212,45726;10,37;;;;;;;;;;;;;;;;;;Rosso
ARG;2018;1227,40422;10,52;;;;;;;;;;;;;;;;;;
ARG;2019;1231,51703;10,74;;;;;;;;;;;;;;;riga max rpm;444;Islanda;
AUT;2002;2993,21641;24,68;;;;;;;;;;;;;;;riga max esh;565;Madagascar;
AUT;2004;3187,8887;23,17;;;;;;;;;;;;;;;;;;
AUT;2005;3471,6408;24,41;;;;;;;;;;;;;;;;;;
AUT;2006;3537,75651;26,64;;;;;;;;;;;;;;;;;;
AUT;2007;3824,59663;28,99;;;;;;;;;;;;;;;;;;
AUT;2008;4153,93901;29,68;;;;;;;;;;;;;;;;;;
AUT;2009;4158,86463;31,31;;;;;;;;;;;;;;;;;;
AUT;2010;4380,4341;31,15;;;;;;;;;;;;;;;;;;
AUT;2011;4431,66678;31,64;;;;;;;;;;;;;;;;;;
AUT;2012;4721,93581;34,38;;;;;;;;;;;;;;;;;;
AUT;2013;4783,21388;34,59;;;;;;;;;;;;;;;;;;
AUT;2014;5010,50717;35,67;;;;;;;;;;;;;;;;;;
AUT;2015;5074,4303;34,82;;;;;;;;;;;;;;;;;;
AUT;2016;5401,30362;34,64;;;;;;;;;;;;;;;;;;
AUT;2017;5416,8937;33,98;;;;;;;;;;;;;;;;;;
AUT;2018;5683,24278;34,11;;;;;;;;;;;;;;;;;;
AUT;2019;5959,54993;33,77;;;;;;;;;;;;;;;;;;
BEL;2000;2981,54534;1,44;;;;;;;;;;;;;;;;;;
BEL;2001;3134,07934;1,58;;;;;;;;;;;;;;;;;;
BEL;2002;2968,05725;1,68;;;;;;;;;;;;;;;;;;
BEL;2003;2978,98084;1,89;;;;;;;;;;;;;;;;;;
BEL;2004;3107,45033;2,02;;;;;;;;;;;;;;;;;;
BEL;2005;3161,08431;2,46;;;;;;;;;;;;;;;;;;
BEL;2006;3306,58969;2,82;;;;;;;;;;;;;;;;;;
BEL;2007;3420,57563;3,34;;;;;;;;;;;;;;;;;;
BEL;2008;3440,15985;3,91;;;;;;;;;;;;;;;;;;
BEL;2009;3551,33314;4,83;;;;;;;;;;;;;;;;;;
BEL;2010;3767,16881;6,22;;;;;;;;;;;;;;;;;;
BEL;2011;3910,07793;6,66;;;;;;;;;;;;;;;;;;
BEL;2012;4147,20829;7,67;;;;;;;;;;;;;;;;;;
BEL;2013;4188,33731;8,22;;;;;;;;;;;;;;;;;;
BEL;2014;4562,40585;9,13;;;;;;;;;;;;;;;;;;
BEL;2015;4741,86029;9,37;;;;;;;;;;;;;;;;;;
BEL;2016;4811,19473;9,2;;;;;;;;;;;;;;;;;;
BEL;2017;4757,92552;9,64;;;;;;;;;;;;;;;;;;
BEL;2018;5032,36784;10,66;;;;;;;;;;;;;;;;;;
BEL;2019;5280,4219;10,21;;;;;;;;;;;;;;;;;;
BGR;2000;1165,94486;7,97;;;;;;;;;;;;;;;;;;
BGR;2001;1142,76915;7,24;;;;;;;;;;;;;;;;;;
BGR;2002;1152,26646;8,7;;;;;;;;;;;;;;;;;;
BGR;2003;1206,86259;9,16;;;;;;;;;;;;;;;;;;
BGR;2004;1245,48737;9,55;;;;;;;;;;;;;;;;;;
BGR;2005;1282,18062;9,83;;;;;;;;;;;;;;;;;;
BGR;2006;1326,84732;9,96;;;;;;;;;;;;;;;;;;
BGR;2007;1447,00884;8,85;;;;;;;;;;;;;;;;;;
BGR;2008;1479,23055;9,94;;;;;;;;;;;;;;;;;;
BGR;2009;1563,64055;11,62;;;;;;;;;;;;;;;;;;
BGR;2010;1441,65783;14,27;;;;;;;;;;;;;;;;;;
BGR;2011;1572,46519;13,22;;;;;;;;;;;;;;;;;;
BGR;2012;1503,20869;15,63;;;;;;;;;;;;;;;;;;
BGR;2013;1645,56699;18,24;;;;;;;;;;;;;;;;;;
BGR;2014;1783,22009;17,15;;;;;;;;;;;;;;;;;;
BGR;2015;1939,14416;17,85;;;;;;;;;;;;;;;;;;
BGR;2016;2198,80821;17,71;;;;;;;;;;;;;;;;;;
BGR;2017;2092,08124;17,12;;;;;;;;;;;;;;;;;;
BGR;2018;2310,61903;19,6;;;;;;;;;;;;;;;;;;
BGR;2019;2391,02454;19,34;;;;;;;;;;;;;;;;;;
BIH;2003;55,25296;20,14;;;;;;;;;;;;;;;;;;
BIH;2004;57,20622;20,1;;;;;;;;;;;;;;;;;;
BIH;2005;61,47947;19,73;;;;;;;;;;;;;;;;;;
BIH;2006;164,63454;18,12;;;;;;;;;;;;;;;;;;
BIH;2007;184,46035;14,84;;;;;;;;;;;;;;;;;;
BIH;2012;155,65493;15,28;;;;;;;;;;;;;;;;;;
