year;avg_renewable_energy_global;;;;;;
2000;18,3924;;;;;;
2001;17,9952;;;;;;
2002;18,0664;;;;;;
2003;18,0094;;;;;;
2004;18,3584;;;;;;
2005;18,5712;;;;;;
2006;18,639;;;;;;
2007;18,7166;;;;;;
2008;19,3256;;;;;;
2009;20,2622;;;;;;
2010;20,7382;;;;;;
2011;20,6156;;;;;;
2012;21,405;;;;;;
2013;21,9936;;;;;;
2014;22,3902;;;;;;
2015;22,7486;;;;;;
2016;22,9394;;;;;;
2017;22,9094;;;;;;
2018;23,7332;;;;;;
2019;23,9864;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;SELECT DATA???
