year;cluster;correlation;;;Year;Low correlation;Medium correlation;High correlation;;;;;;;
2000;High;-0,4473;;TOLGO?;2004;-0,5164;0,1650;0,2862;;;;;;;
2001;High;0,5154;;;2005;-0,5546;-0,0121;0,4553;;;;;;;
2002;High;-0,2987;;TOLGO?;2006;-0,5561;0,0686;0,5447;;;;;;;
2003;High;0,4377;;;2007;-0,5185;0,1907;0,4562;;;;;;;
2004;High;0,2862;;;2008;-0,5080;0,2320;0,5711;;;;;;;
2005;High;0,4553;;;2009;-0,4573;0,2166;0,5054;;;;;;;
2006;High;0,5447;;;2010;-0,4611;0,2492;0,3017;;;;;;;
2007;High;0,4562;;;2011;-0,3672;0,2327;0,4245;;;;;;;
2008;High;0,5711;;;2012;-0,2181;0,1292;0,3426;;;;;;;
2009;High;0,5054;;;2013;-0,2277;0,0845;0,3212;;;;;;;
2010;High;0,3017;;;2014;-0,0917;0,1034;0,3703;;;;;;;
2011;High;0,4245;;;2015;-0,2264;0,0816;0,4080;;;;;;;
2012;High;0,3426;;;2016;-0,3887;0,0832;0,4297;;;;;;;
2013;High;0,3212;;;2017;-0,4416;0,0094;0,4897;;;;;;;
2014;High;0,3703;;;2018;-0,4377;-0,0552;0,4575;;;;;;;
2015;High;0,4080;;;2019;-0,2762;0,0078;0,5814;;;;;;;
2016;High;0,4297;;;;;;;;;;;;;
2017;High;0,4897;;;;;;;;;;;;;
2018;High;0,4575;;;;;;;;;;;;;
2019;High;0,5814;;;;;;;;;;;;;
2020;High;NULL;;;;;;;;;;;;;
2000;Medium;0,0533;;;;;;;;;;;;;
2001;Medium;0,0620;;;;;;;;;;;;;
2002;Medium;0,2347;;;;;;;;;;;;;
2003;Medium;0,1244;;;;;;;;;;;;;
2004;Medium;0,1650;;;;;;;;;;;;;
2005;Medium;-0,0121;;;;;;;;;;;;;
2006;Medium;0,0686;;;;;;;;;;;;;
2007;Medium;0,1907;;;;;;;;;;;;;
2008;Medium;0,2320;;;;;;;;;;;;;
2009;Medium;0,2166;;;;;;;;;;;;;
2010;Medium;0,2492;;;;;;;;;;;;;
2011;Medium;0,2327;;;;;;;;;;;;;
2012;Medium;0,1292;;;;;;;;;;2000;-0,6678;0,0533;-0,4473
2013;Medium;0,0845;;;;;;;;;;2001;-0,6004;0,0620;0,5154
2014;Medium;0,1034;;;;;;;;;;2002;-0,6671;0,2347;-0,2987
2015;Medium;0,0816;;;;;;;;;;2003;-0,5028;0,1244;0,4377
2016;Medium;0,0832;;;;;;;;;;;;;
2017;Medium;0,0094;;;;;;;;;;;;;
2018;Medium;-0,0552;;;;;;;;;;;;;
2019;Medium;0,0078;;;;;;;;;;;;;
2020;Medium;NULL;;;;;;;;;;;;;
2000;Low;-0,6678;;;;;;;;;;;;;
2001;Low;-0,6004;;;;;;;;;;;;;
2002;Low;-0,6671;;;;;;;;;;;;;
2003;Low;-0,5028;;;;;;;;;;;;;
2004;Low;-0,5164;;;;;;;;;;;;;
2005;Low;-0,5546;;;;;;;;;;;;;
2006;Low;-0,5561;;;;;;;;;;;;;
2007;Low;-0,5185;;;;;;;;;;;;;
2008;Low;-0,5080;;;;;;;;;;;;;
2009;Low;-0,4573;;;;;;;;;;;;;
2010;Low;-0,4611;;;;;;;;;;;;;
2011;Low;-0,3672;;;;;;;;;;;;;
2012;Low;-0,2181;;;;;;;;;;;;;
2013;Low;-0,2277;;;;;;;;;;;;;
2014;Low;-0,0917;;;;;;;;;;;;;
2015;Low;-0,2264;;;;;;;;;;;;;
2016;Low;-0,3887;;;;;;;;;;;;;
2017;Low;-0,4416;;;;;;;;;;;;;
2018;Low;-0,4377;;;;;;;;;;;;;
2019;Low;-0,2762;;;;;;;;;;;;;
2020;Low;NULL;;;;;;;;;;;;;
