geounit;country_name;researchers_per_million
KOR;Korea (the Republic of);7913,502
DNK;Denmark;7635,777
SWE;Sweden;7433,211
FIN;Finland;6872,984
SGP;Singapore;6786,696
NOR;Norway;6483,526
AUT;Austria;5683,243
ISL;Iceland;5644,095
NLD;Netherlands (Kingdom of the);5535,476
JPN;Japan;5361,966
DEU;Germany;5239,972
BEL;Belgium;5032,368
SVN;Slovenia;4788,847
FRA;France;4756,584
LUX;Luxembourg;4756,470
CAN;Canada;4749,131
IRL;Ireland;4694,245
PRT;Portugal;4627,172
USA;United States of America (the);4260,581
HKG;Hong Kong;3972,153
CZE;Czechia;3911,207
HUN;Hungary;3845,492
EST;Estonia;3765,622
MAC;Macao;3471,429
GRC;Greece;3441,065
LTU;Lithuania;3092,745
POL;Poland;3056,768
ESP;Spain;3003,563
SVK;Slovakia;3001,404
RUS;Russian Federation (the);2787,246
ITA;Italy;2541,038
BGR;Bulgaria;2310,619
HRV;Croatia;1912,068
MLT;Malta;1866,125
LVA;Latvia;1776,504
TUR;Türkiye;1612,149
CYP;Cyprus;1408,180
CHN;China;1319,356
ARG;Argentina;1227,404
MDA;Moldova (the Republic of);903,418
ROU;Romania;875,762
MKD;North Macedonia;788,037
KAZ;Kazakhstan;662,986
EGY;Egypt;657,592
CHL;Chile;529,072
ZAF;South Africa;510,974
UZB;Uzbekistan;480,432
BIH;Bosnia and Herzegovina;458,037
CRI;Costa Rica;343,779
MEX;Mexico;317,407
OMN;Oman;296,094
PAN;Panama;107,238
IRQ;Iraq;106,526
MDG;Madagascar;33,728
GTM;Guatemala;13,278
