country_name;renewable_energy_share_pct
Madagascar;83,74
Iceland;80,71
Guatemala;64,12
Norway;60,75
Sweden;51,54
Brazil;46,95
Finland;44,17
Latvia;40,97
Costa Rica;35,7
Bosnia and Herzegovina;35,4
Denmark;34,67
Austria;34,11
Lithuania;33,73
Croatia;32,83
New Zealand;30,73
Estonia;28,59
Portugal;27,47
Chile;25,46
Panama;24,44
Romania;23,03
Canada;21,99
North Macedonia;20,87
Slovenia;20,61
Bulgaria;19,6
Greece;17,86
Spain;17,42
Italy;17,08
Germany;16,12
Luxembourg;16,09
France;15,21
Czechia;14,72
China;13,71
Hungary;13,58
Slovakia;12,43
Cyprus;12,11
Poland;11,27
Ireland;10,78
Belgium;10,66
Argentina;10,52
South Africa;10,19
United States;10,12
Mexico;10,03
Malta;7,54
Japan;7,22
Egypt;5,23
Kazakhstan;1,88
Uzbekistan;1,49
Singapore;0,73
Iraq;0,49
Oman;0
