country_code;country_name;avg_researchers_per_million;avg_percent_renewable;;;;country_code;Correlation;;;country_code;Correlation
FIN;Finland;7329,216076;37,49;;;;BEL;0,980492702;;;UZB;-0,6231262
ISL;Iceland;6843,818268;71,03727273;;;;FRA;0,949587415;;;ZAF;-0,7205073
DNK;Denmark;6430,127234;23,09052632;;;;GRC;0,9468739;;;CHN;-0,7852308
SWE;Sweden;6164,305859;45,04444444;;;;DEU;0,941771102;;;FIN;-0,8423616
SGP;Singapore;5999,689475;0,5685;;;;CZE;0,93893681;;;CHL;-0,8587432
NOR;Norway;5539,853866;58,21666667;;;;DNK;0,926954033;;;;
JPN;Japan;5215,693133;5,011;;;;ITA;0,926366781;;!!!;;
LUX;Luxembourg;4714,796288;6,63;;;;IRL;0,906028132;;;;
AUT;Austria;4556,717672;31,03705882;;;;SVK;0,902076117;;;;
CAN;Canada;4440,86205;22,0195;;;;AUT;0,900526156;;;;
DEU;Germany;4106,825704;10,692;;;;BGR;0,896326044;;;;
NZL;New Zealand;4026,270478;29,897;;;;EST;0,856705578;;;;
BEL;Belgium;3936,174107;5,6475;;;;LTU;0,838393027;;;;
FRA;France;3916,282983;11,399;;;;PRT;0,818668939;;;;
IRL;Ireland;3810,632482;5,767;;;;MLT;0,799005918;;;;
USA;United States;3771,718308;7,514;;;;USA;0,783971245;;;;
SVN;Slovenia;3530,897598;19,372;;;;CYP;0,776482198;;;;
PRT;Portugal;3323,678973;24,516;;;;SVN;0,759605249;;;;
EST;Estonia;2982,945828;23,236;;;;POL;0,746157362;;;;
CZE;Czechia;2822,104301;10,784;;;;HUN;0,733941807;;;;
LTU;Lithuania;2627,59615;23,1465;;;;IRQ;0,716725735;;;;
ESP;Spain;2626,157084;12,571;;;;SWE;0,700386419;;;;
GRC;Greece;2564,029819;13,17714286;;;;ESP;0,654408019;;;;
SVK;Slovakia;2462,977583;9,429;;;;BIH;0,632947958;;;;
HUN;Hungary;2308,670498;11,0385;;;;NOR;0,611453471;;;;
POL;Poland;1961,101833;9,3225;;;;JPN;0,599518698;;;;
ITA;Italy;1793,35553;11,5275;;;;SGP;0,515864031;;;;
LVA;Latvia;1735,138748;37,099;;;;MKD;0,499782554;;;;
BGR;Bulgaria;1631,790001;13,1475;;;;NZL;0,468883129;;;;
HRV;Croatia;1617,651591;28,3915;;;;CAN;0,461140473;;;;
MLT;Malta;1516,3134;2,921666667;;;;HRV;0,381465509;;;;
ARG;Argentina;1032,203315;9,5605;;;;KAZ;0,329639888;;;;
CYP;Cyprus;1025,27364;6,8565;;;;LUX;0,230114133;;;;
CHN;China;1010,134554;16,4925;;;;LVA;0,2079317;;;;
ROU;Romania;921,9639052;20,2865;;;;GTM;0,196356546;;;;
MKD;North Macedonia;625,2740005;18,813;;;;PAN;0,007754347;;;;
EGY;Egypt;589,1161229;5,553076923;;;;CRI;-0,130089118;;;;
BRA;Brazil;580,6989033;44,84466667;;;;MEX;-0,299492561;;;;
KAZ;Kazakhstan;577,7189407;1,559230769;;;;ROU;-0,301353863;;;;
UZB;Uzbekistan;547,0955276;1,2385;;;;ARG;-0,343885722;;;;
CHL;Chile;417,7330029;27,73769231;;;;ISL;-0,466329711;;;;
ZAF;South Africa;413,1780389;11,15888889;;;;EGY;-0,612243745;;;;
CRI;Costa Rica;340,490714;38,18142857;;;;UZB;-0,623126208;;;;
MEX;Mexico;321,4547619;9,913;;;;ZAF;-0,72050733;;;;
BIH;Bosnia and Herzegovina;269,2882379;22,35538462;;;;CHN;-0,785230802;;;;
OMN;Oman;242,915619;0;;;;FIN;-0,842361627;;;;
IRQ;Iraq;221,303165;1,038181818;;;;CHL;-0,858743232;;;;
PAN;Panama;103,0521165;23,15157895;;;;;;;;;
MDG;Madagascar;41,878536;84,95066667;;;;;;;;;
GTM;Guatemala;24,29774937;65,31733333;;;;;;;;;
